"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.869483920E-1,1.125951290E0,6.967955232E-1,1.969216347E0,2.372994591E0
1.894087040E-1,1.057909489E0,6.808170676E-1,1.966020703E0,2.334078356E0
1.918915170E-1,9.886693954E-1,6.552514434E-1,1.957498789E0,2.288803866E0
1.943743290E-1,9.247553945E-1,6.211640239E-1,1.950042248E0,2.245814341E0
1.968571420E-1,8.608414531E-1,5.966636539E-1,1.940455079E0,2.205089893E0
1.993400060E-1,7.990579009E-1,5.647066832E-1,1.927672267E0,2.161783416E0
2.018228190E-1,7.415353656E-1,5.412715077E-1,1.914889574E0,2.123594035E0
2.043056310E-1,6.850779653E-1,5.135754943E-1,1.898910999E0,2.083015744E0
2.067894330E-1,6.339467764E-1,4.816184938E-1,1.886128187E0,2.047272436E0
2.093113080E-1,5.849460959E-1,4.475310147E-1,1.872280240E0,2.011934204E0
2.117951100E-1,5.391410589E-1,3.942693770E-1,1.864823580E0,1.980830232E0
2.142789120E-1,5.029231310E-1,3.452686667E-1,1.852040768E0,1.949922340E0
2.167627670E-1,4.700340629E-1,2.856155932E-1,1.844584107E0,1.924837348E0
2.192466210E-1,4.423380196E-1,2.280930281E-1,1.834997058E0,1.901289971E0
2.217304230E-1,4.167724252E-1,1.643121988E-1,1.820083737E0,1.874407257E0
2.242142250E-1,3.954677582E-1,1.014634445E-1,1.805170536E0,1.850764772E0
2.266977150E-1,3.805544972E-1,4.607132822E-2,1.787061572E0,1.827712602E0
2.291690170E-1,3.656412363E-1,-1.677742042E-2,1.765756845E0,1.803294827E0
2.316525060E-1,3.571193814E-1,-6.258244067E-2,1.738060832E0,1.775473534E0
2.341359960E-1,3.571193814E-1,-1.051917598E-1,1.710364819E0,1.750413486E0
2.366195370E-1,3.613803089E-1,-1.403444558E-1,1.679473042E0,1.723636271E0
2.391030270E-1,3.699021637E-1,-1.754971445E-1,1.645385504E0,1.695558998E0
2.415865170E-1,3.869459033E-1,-1.946713328E-1,1.614627004E0,1.671719002E0
